Zona,Nome_01,Domicil_01,Famlias_01,Pop_01,MatrEsc_01,Emp_01,AutPart_01,ViagPro_01,ViagAtr_01,Area_01
223,Fazenda Caguaçu,8356,8356,26492,3371,10752,5114,42056,41062,440
224,Parque do Carmo,0,0,0,4257,1818,0,12672,12683,777
225,Gleba do Pêssego,10178,10178,31818,6822,11991,6039,52438,52215,1028
226,José Bonifácio,34499,34499,102278,26114,20670,18485,175800,175398,417
227,Guaianases,20519,20519,63969,15098,15793,11502,91367,91148,472
228,Juscelino Kubitschek,14012,14154,44320,8074,8814,5365,59400,60518,419
229,Cidade Tiradentes,48217,48531,152866,39971,31893,17541,245669,246269,954
230,Santa Etelvina,25065,25719,77122,23503,13952,10109,121194,119151,541
231,Terceira Divisão,10869,10869,35298,6105,8258,5881,50016,49474,1131
232,Iguatemi,13059,13059,42214,13531,9556,7739,74969,75002,504
233,Sítio Carrãozinho,20823,20823,67261,13232,16657,9994,94449,94544,323
234,Parque São Rafael,21512,21512,70826,15195,17140,7553,105669,105363,737
235,Rodolfo Pirani,27246,27246,85409,10109,23823,18275,101225,101100,566
236,Ipiranga,4707,4707,12057,5439,10921,3846,42348,42469,92
237,Sacomã,3078,3078,8175,1104,11761,2143,48080,47304,90
238,Alto do Ipiranga,6987,6987,19260,3209,11313,4666,43596,43749,161
239,Vila São José,5668,5668,15480,16019,17557,4735,80949,81207,178
240,Vila Monumento,7240,7240,19389,4597,19037,6189,55955,56191,165
241,Vila Independência,3516,3516,9672,1875,12369,2222,30083,29568,170
242,Vila Carioca,8705,8705,27112,1670,12535,3447,52620,52063,249
243,Moinho Velho,16838,16838,44779,16802,20213,11320,93674,93649,347
244,Vila Heliópolis,20262,22131,62304,3408,10433,9932,111032,110313,233
245,São João Clímaco,8652,8652,24591,1694,6731,4887,32796,33128,198
246,Anchieta,10426,10426,29973,13017,7199,7880,46890,46925,217
247,Vila das Mercês,33838,33838,98763,17109,21051,19619,199361,200304,469
248,Parque do Estado,0,0,0,0,2132,0,5983,5983,445
249,Água Funda,15186,15186,46815,4704,14681,8359,64729,64766,276
250,Jardim da Saúde,6759,6759,19179,3402,13101,5774,46419,46381,183
251,Vila Gumercindo,9142,9142,24384,7736,11653,7615,38478,39433,137
252,Jardim Previdência,7598,7598,22489,3832,11661,5223,44948,44591,166
253,Tamanduateí,1562,1562,5068,227,6955,574,13221,13139,113
254,Orfanato,12252,12252,34074,26826,22117,10150,105170,105744,354
255,Vila Zelina,22919,22919,65501,12827,21020,20963,129760,129208,493
256,Linhas Corrente,10272,10272,29469,4469,9469,7053,43340,42531,252
257,Vila Ema,15149,15149,44120,6081,8153,9655,60173,60096,267
258,Parque São Lucas,23421,23988,69365,10680,15986,15628,94559,94003,450
259,Vila Cardoso Franco,12351,12351,37944,4461,10758,7650,48732,48580,164
260,Parque Santa Madalena,14948,14948,46025,6144,8903,6653,56969,56645,205
261,Jardim Colorado,18514,18514,56316,7100,12018,13441,84470,84449,320
262,Teotônio Vilela,27256,27256,85182,10306,19292,12785,114372,114352,346
263,Fazenda da Juta,19766,19766,63212,14589,15372,11387,116249,115682,330
264,São Mateus,21428,21902,66948,9921,21738,15695,108178,109373,428
265,Cidade IV Centenário,14388,14388,44247,17994,15856,8886,99937,100188,333
266,Rio Claro,6094,6094,18759,4008,6405,2256,22129,21986,218
267,Cidade Satélite,8159,8159,25209,9539,10250,5457,54660,54844,300
268,Joaquim Nabuco,4976,5002,13975,2803,11067,5224,39785,39785,198
269,Vieira de Moraes,8526,8526,21459,2470,18354,10426,67022,66337,171
270,Campo Belo,3668,3668,9294,1755,9812,4139,27524,27473,139
271,Congonhas,0,0,0,139,13426,0,22796,22402,179
272,Jardim Aeroporto,7134,7134,19506,3554,13028,5875,41280,41859,199
273,Vila Santa Catarina,21766,21766,61476,7720,27078,16786,118441,119859,326
274,Jabaquara,13238,13238,35826,11567,34389,12529,135926,134492,289
275,Cidade Vargas,14450,14450,38239,12671,24388,11997,113179,112412,347
276,Jardim Bom Clima,29889,30453,92605,12335,23391,19581,159942,160341,446
277,Cupecê,20573,20785,59452,18697,26289,18642,124162,124376,417
278,Jardim Miriam,44813,44993,138839,22532,21666,19502,209678,209824,514
279,Vila Missionária,26669,27460,83502,8626,17839,7936,102021,101768,295
280,Jurubatuba,7300,7300,20114,11245,28167,6565,78495,78829,483
281,Vila São Pedro,14777,14960,41022,9524,19470,15750,85019,85232,313
282,Campo Grande,11639,11749,33790,10041,22802,9296,86888,86725,272
283,Vila Sabará,3847,3847,10684,673,3689,2840,19202,19204,235
284,Mar Paulista,16660,16660,51001,14011,13017,9405,81974,82308,549
285,Pedreira,34131,34131,106280,19409,27386,12170,169615,170041,1303
286,Vila Socorro,3296,3353,9119,4957,19341,2167,50861,50509,293
287,Parque Interlagos,9172,9357,27277,7657,14732,8770,70743,69619,936
288,Jardim Represa,7074,7074,21830,13030,8850,2541,49835,50035,784
289,Rio Bonito,15255,15255,47549,12315,21065,10137,94814,95685,496
290,SESC Interlagos,17283,17283,56065,8959,9715,7440,89885,90077,736
291,Jardim Presidente,24259,24259,75809,20928,18070,16338,133199,132646,763
292,Vila Natal,20493,20493,65633,13900,10647,9126,100460,98255,415
293,Grajaú,27744,28086,86031,20206,27179,16369,146103,145393,541
294,Cocaia,35333,35333,113477,27666,15060,8700,170092,170081,1093
295,Belmira Marin,35636,36044,114180,26972,19585,22070,169462,169379,1237
296,Bororé,1285,1285,4148,2107,1597,254,9045,8973,5993
297,Jaceguava,951,951,2907,357,798,1150,4098,4333,3513
298,Parelheiros,44913,45387,145648,42621,27668,16043,220424,220190,11667
299,Marsilac,2621,2621,8363,882,2186,1672,10429,10131,20796
300,Granja Julieta,13227,13439,34905,35867,101042,14757,268798,270427,617
301,Chácara Flora,4266,4266,12483,4648,18234,6048,50386,49919,452
302,Santo Amaro,5985,5985,16387,19234,29702,6176,119538,120132,257
303,Vila Miranda,3681,3681,10325,50942,28697,2825,131372,131886,271
304,Jardim São Luís,26276,26276,78638,23331,34830,14886,162940,164567,408
305,Centro Empresarial,42922,44026,127291,30107,26283,20784,207592,206277,675
306,Guarapiranga,27655,28410,82209,12492,19288,8033,100713,100781,1513
307,Jardim Capela,32819,32819,104416,19846,24146,20550,146468,145935,2022
308,Riviera,13756,13756,41879,16545,8285,1694,60820,61416,799
309,Jardim Turquesa,21403,21551,65732,11781,12417,10542,78440,78526,283
310,Morro do Índio,9523,9523,28295,4385,8290,2459,28733,29144,115
311,Jardim Ângela,29658,29658,88536,24466,16565,11419,150206,152762,464
312,Capão Redondo,13118,13118,38307,19056,14728,9331,93983,93332,219
313,Jardim Sônia Ingá,8080,8080,24266,8776,5067,4560,45307,45544,105
314,Adventista,34690,34690,105255,34577,27777,12617,186306,186290,545
315,Parque Fernanda,39699,39864,122442,21275,31102,14758,175072,174827,512
316,Morumbi,5711,5711,15560,5527,13918,7732,47001,47729,271
317,Jóquei Clube,1306,1328,4306,1077,7718,2234,18368,17372,333
318,Fazenda Morumbi,7597,7597,22908,2224,13046,5237,47831,48146,321
319,Real Parque,3036,3036,9015,5351,20404,3690,39853,40061,223
320,Paraisópolis,24784,24784,73861,12444,12102,7876,100266,99948,362
321,Jardim Vitória Régia,15862,15862,42795,8125,23345,24226,100031,99828,370
322,Vila Suzana,14938,14938,39440,8490,20775,17032,83449,82279,301
323,Parque Arariba,21065,21612,62710,12215,10988,14417,96394,96128,347
324,Jardim Mitsutani,23063,23063,71351,17783,22540,8929,97554,97998,349
325,Pirajussara,13085,13514,40057,17381,11289,7520,87923,88567,270
326,Jardim Umarizal,16960,16960,51055,9380,11396,9724,65954,64076,295
327,Portal do Morumbi,6588,6588,19723,1141,6535,8048,31616,31760,151
328,Jardim Jussara,8183,8183,22657,6690,15235,10664,51627,53169,232
329,Vila Sônia,11903,11903,34406,8788,21336,10781,89906,90098,348
330,Jardim Maria do Carmo,13529,13529,42282,4377,13889,9585,63434,63833,278
331,Jardim Cambará,13529,13529,42177,7814,13167,8961,70202,70125,480
332,Jardim João XXIII,13702,13883,43732,13015,13304,9738,81663,81806,468
333,Raposo Tavares,6690,6690,19965,3844,8580,4697,34489,34495,271
334,Rio Pequeno,12117,12117,36683,8249,15381,5576,68189,68377,246
335,Jardim Ester Yolanda,13398,13398,40378,7018,10114,9799,68772,68967,265
336,Jardim Adalgiza,14943,14943,45585,4163,10317,10310,60761,60524,467
337,Parque Continental,8657,8657,22537,6371,15255,7465,52312,52854,226
338,Jaguaré,10529,10529,31544,6387,21707,5196,71443,71115,430
339,Cidade Universitária,0,0,0,54277,26885,0,89704,89645,585
340,Butantã,2847,3066,7738,1836,13603,3096,39506,39510,207
341,Jardim Caxingui,3866,3866,10541,3726,8790,3064,30016,29662,180
342,Jardim Bonfiglioli,12797,12797,35707,5298,14867,10932,69660,69710,320
343,Melhoramentos,1181,1181,3577,98,575,969,3799,3779,2875
344,Caieiras,17209,17209,52690,13625,28005,10600,109204,109450,1990
345,Serpa,13002,13002,41146,7969,9840,5771,38674,38674,691
346,Santa Inês,0,0,0,0,379,0,125,125,4081
347,Cajamar,22993,23599,69567,16610,27941,19953,118233,118149,4856
348,Jordanésia,1657,1700,5011,501,2795,1415,9150,9060,8308
349,Cristais,0,0,0,0,258,0,292,292,4252
350,Baltazar Fidélis,21377,21377,71944,11947,9827,11360,64961,63965,2505
351,Franco da Rocha,22744,25228,75681,19215,15226,13510,117117,116458,1418
352,Parque do Juqueri,0,0,0,0,4933,0,6833,7507,2551
353,Palmares,0,0,0,0,476,0,379,379,2721
354,Sete Voltas,0,0,0,0,435,0,493,493,560
355,Afonso Moreno,19075,19075,58624,12867,17616,10262,87804,87401,745
356,Francisco Morato,33388,33388,105824,24730,14311,11936,131633,131110,1857
357,Cascatas,1621,1621,5222,823,791,498,4794,4779,1758
358,Mairiporã,13692,13692,43904,8692,14358,8543,55285,54688,4886
359,Paiva Castro,5629,5629,17805,1991,8251,3452,24556,24396,6751
360,Colinas,5732,5732,18078,3170,9922,3786,27205,27358,5553
361,Pirucaia,4295,4295,14906,2005,4835,2606,16341,16565,14954
362,Guarulhos,5117,5117,13285,27709,30264,4569,121603,121219,164
363,Macedo,14881,14881,41525,16354,34785,10150,127463,128781,382
364,Cumbica,4172,4172,13419,1444,27065,1879,42524,42888,689
365,Várzea do Palácio,1619,1619,4709,321,16453,1179,25788,24519,647
366,Ponte Grande,10971,10971,31525,6935,37649,9715,97909,96567,875
367,Gopouva,10201,10201,27784,4988,11391,9060,50310,49926,202
368,Vila São Rafael,17772,17772,52057,13385,20825,8086,92874,92984,401
369,Vila Rosália,18787,18787,55983,18053,21185,15888,114853,114737,435
370,André Luiz,29204,29976,85786,20712,32461,25853,160750,160603,580
371,Jardim Santa Clara,24919,24919,75496,16348,9977,21007,105695,106022,463
372,Parque CECAP,22385,22999,66738,12560,13916,14166,102370,102505,472
373,Taboão,21779,21779,70679,20520,20587,15589,144842,145010,529
374,Aeroporto,0,0,0,0,17786,0,40916,37109,1325
375,Jardim Presidente Dutra,27319,27319,87689,18528,31780,15230,127979,128211,892
376,Baquirivu,12773,14426,40452,12172,19818,8882,92450,93922,1046
377,Água Chata,57841,57841,187611,44792,56986,35992,364741,364271,2423
378,Pimentas,31063,31063,98639,18832,38668,18916,133417,132335,1686
379,Cabuçu,19028,19028,60116,8688,13236,10729,91141,91261,752
380,Invernada,31384,32107,104648,22066,17487,10296,137191,136592,2195
381,Morro dos Macacos,0,0,0,0,0,0,0,0,3533
382,Chácaras Bananal,30358,32918,98771,19455,18545,15418,178041,178819,1816
383,Estrada de Nazaré Paulista,23448,23448,76801,19291,14758,9772,109919,110384,1215
384,Água Azul,8952,9547,28884,6181,9038,4885,49910,49538,3389
385,Vasconcelândia,0,0,0,0,452,0,844,844,5830
386,Arujazinho,1165,1165,3894,1071,4159,675,10029,10163,4190
387,Arujá,23499,24203,76091,19391,30542,14040,131530,128976,3194
388,Fazenda Velha,1972,1972,6394,1105,3181,1119,9972,10237,2249
389,Santa Isabel,13237,13840,40477,8257,16906,5989,76350,76863,3990
390,Jaguari,4528,4977,13603,969,2720,1961,16384,15756,32425
391,Ferraz de Vasconcelos,26622,26622,82616,23663,19107,15459,109136,112579,991
392,Paiol Velho,0,0,0,0,485,0,978,978,1027
393,Santos Dumont,33179,33179,104804,18238,24782,17045,145005,141809,945
