Zona,Nome_01,Domicil_01,Famlias_01,Pop_01,MatrEsc_01,Emp_01,AutPart_01,ViagPro_01,ViagAtr_01,Area_01
495,Jardim Veloso,38827,38827,121969,24778,24915,26068,148756,150648,679
496,Quitaúna,23961,23961,72059,11116,15902,16755,110145,111941,553
497,Jardim Piratininga,4242,4293,12790,2177,4860,3072,21929,21800,351
498,Presidente Altino,4114,4114,11600,2889,17315,2466,47188,47378,248
499,Munhoz Junior,41453,42480,129340,22302,20876,25526,159840,160212,723
500,Rochdale,15732,16768,49817,9737,16028,7703,78050,77831,366
501,Mutinga,17138,17138,51302,18616,14370,12245,95811,96262,442
502,Três Montanhas,6339,6595,20742,1994,21946,4182,46045,45940,958
503,Ribeirão Itaqui,2011,2011,5903,809,9720,1563,27045,27319,357
504,Jandira,35994,35994,106308,19189,22136,21451,149366,149295,680
505,Ribeirão das Pombas,2576,2596,7933,1559,1363,4581,10033,9962,712
506,Granja Viana,11014,11014,33261,8730,28529,12517,81392,80306,1640
507,Fernando Nobre,7443,7533,23325,3033,26013,9091,55758,55937,1977
508,Cotia,43726,43726,138853,35388,47511,32179,244647,245658,8045
509,Capueira,1700,1700,5505,686,1613,857,6891,6927,2230
510,Caucaia,0,0,0,0,52,0,0,0,10266
511,Caucaia do Alto,10831,10831,36116,7604,11173,6609,57758,57517,8316
512,Vargem Grande Paulista,15763,15763,50557,11762,17807,12278,96143,96245,4258
513,Quatro Encruzilhadas,1200,1200,3587,51,534,1364,2968,2916,2101
514,Itapevi,33436,33436,104626,21137,26505,16059,156889,158309,1070
515,Amador Bueno,38079,38079,120821,26727,25162,21339,154950,154298,5113
516,Santana de Parnaíba,41864,41864,131608,32126,48248,42320,213607,214742,18035
517,Pirapora do Bom Jesus,5614,5614,18107,3417,5143,2858,22920,22927,10877
