08_ZResidencia,08_AssCom_Cart,08_AssSem_Cart,08_FunPub,08_Auto,08_Empreg,08_ProfLib,08_DNegFam,08_TraFam,08_Total
166,7587,1721,1023,3599,1375,1582,760,0,17646
167,4297,715,139,1941,0,891,697,0,8681
168,7245,1012,534,2679,89,627,180,0,12366
169,7181,350,596,2904,253,395,1057,0,12735
170,8639,1230,1159,1849,126,646,645,0,14294
171,9410,455,3229,6738,0,218,437,0,20487
172,5004,0,1125,3730,0,107,0,0,9966
173,6241,960,733,4400,240,0,14,0,12588
174,13095,782,1301,6702,617,971,644,0,24111
175,5517,1177,218,5649,0,0,1547,268,14376
176,6221,347,1197,8803,491,601,400,4367,22427
177,2272,255,40,1367,84,0,356,0,4374
178,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0
180,19688,1647,843,8778,482,914,1919,0,34271
181,12500,395,336,4967,732,0,786,80,19795
182,6631,1270,1270,6340,0,580,2226,0,18318
183,10187,296,1727,5902,0,0,789,0,18901
184,5358,972,326,2790,0,0,471,0,9917
185,5339,296,206,3183,0,0,145,0,9169
186,3250,579,0,1100,133,158,0,0,5220
187,11572,1554,676,6035,186,0,1573,0,21596
188,4344,564,1704,3082,0,258,897,0,10850
189,11232,528,2000,4363,0,0,0,0,18123
190,11247,224,826,2435,305,92,215,0,15344
191,0,0,0,0,0,0,0,0,0
192,8391,260,1026,5190,244,0,748,0,15860
193,4967,462,608,2562,0,0,133,0,8732
194,3431,531,153,2824,0,106,483,0,7528
195,9126,792,937,3961,0,189,0,0,15005
196,7775,1474,776,6207,0,0,913,526,17671
197,7425,723,865,1936,0,0,167,0,11117
198,8720,1524,486,4093,0,0,127,0,14950
199,18476,3111,2066,7378,407,0,5317,933,37688
200,5584,1723,580,4954,192,0,595,211,13839
201,17955,3971,863,7500,0,0,0,0,30289
202,23942,2785,166,9177,41,0,425,0,36536
203,14559,2568,882,3920,0,378,2283,388,24978
204,30380,1155,1155,9267,0,0,1253,0,43210
205,25317,3125,1357,16217,0,0,678,1003,47697
206,9086,636,1714,6753,0,0,0,0,18190
207,16016,2970,4892,11546,0,0,0,319,35743
208,11622,2928,670,4879,948,962,936,0,22945
209,9425,1281,363,4751,1790,299,822,0,18731
210,6491,1178,874,3485,605,1770,1206,0,15608
211,14539,1099,1866,9522,0,0,2306,0,29332
212,8374,2481,575,3303,86,0,324,0,15145
213,11467,1466,490,7017,434,126,126,397,21523
214,6891,724,285,4499,0,178,110,285,12972
215,7957,1469,800,3616,0,0,573,0,14415
216,7049,2719,1161,3991,0,0,779,0,15699
217,8082,741,746,5784,0,0,0,0,15353
218,22763,564,1840,7803,0,0,2230,0,35201
219,13807,709,1131,10020,0,0,1689,0,27355
220,8180,1307,421,3467,421,210,149,0,14155
221,10036,488,1976,8322,0,198,642,0,21662
222,8830,1022,1269,6502,589,342,2606,0,21161
223,6245,595,158,3948,503,242,642,0,12333
224,0,0,0,0,0,0,0,0,0
225,6798,1266,592,5434,0,0,237,118,14446
226,23495,4768,4137,9579,152,612,2552,1081,46376
227,17737,601,1682,7134,0,0,2493,0,29647
228,8568,492,2008,7658,402,0,869,156,20151
229,37301,4446,3128,15438,0,935,1580,0,62827
230,20695,2465,822,8010,0,0,1373,1042,34406
231,9818,901,268,4545,0,0,134,0,15665
232,12446,553,1037,5974,0,0,448,277,20736
233,15067,274,818,11366,0,0,1088,385,28997
234,15427,1991,1479,11725,233,0,2425,0,33279
235,16397,2588,2876,14465,0,0,1261,900,38488
236,3500,349,135,807,201,534,244,0,5771
237,2032,109,278,1308,125,410,147,41,4450
238,5770,1175,307,2450,0,69,0,0,9770
239,5553,502,97,1877,151,394,288,0,8862
240,4266,274,359,2266,237,181,974,89,8646
241,2463,427,47,1308,47,47,339,0,4678
242,9447,655,1416,2773,0,0,0,299,14588
243,6726,813,989,6708,1041,243,589,124,17233
244,17461,2013,394,7350,0,0,841,0,28059
245,7997,112,112,4377,112,338,451,0,13499
246,8977,833,100,1872,0,100,729,100,12713
247,25853,7954,2018,11514,1480,497,2841,0,52158
248,0,0,0,0,0,0,0,0,0
249,7503,0,838,8484,0,394,1609,397,19225
250,3670,2476,647,1190,0,758,605,0,9348
251,3408,176,1384,3604,755,176,2911,0,12416
252,7416,999,277,3312,0,331,1265,0,13601
253,1564,81,21,586,42,32,42,0,2368
254,11339,849,96,1965,534,1352,191,0,16325
255,15285,5047,669,7192,0,1078,1579,0,30850
256,5812,1195,894,2671,271,197,491,0,11530
257,10767,1080,675,4950,0,450,1991,0,19912
258,16849,2522,1540,2690,0,0,1189,0,24791
259,10007,1020,0,6511,330,0,1835,0,19703
260,7417,2500,404,4973,404,745,397,0,16841
261,13684,458,1275,5393,0,146,1467,0,22424
262,17981,2364,742,11328,0,584,1485,742,35226
263,18003,1281,514,9057,0,0,716,0,29571
264,12874,1294,998,8135,753,306,1149,998,26508
265,10180,2812,1333,5896,303,0,1659,0,22181
266,2894,760,201,3159,737,0,260,0,8011
267,5896,809,550,3386,135,0,583,116,11477
268,3091,529,129,859,1086,1601,608,0,7904
269,4571,128,122,3446,245,1661,1089,105,11366
270,2444,479,143,887,382,839,48,0,5223
271,0,0,0,0,0,0,0,0,0
272,3950,613,303,2439,538,648,103,0,8593
273,12050,1751,638,13847,1776,258,1290,0,31610
274,6661,2465,1130,5665,173,922,486,173,17674
275,10364,2421,2530,3163,1792,2078,149,0,22497
276,23972,5799,2123,14335,0,1280,3476,0,50983
277,17164,1558,0,7742,408,818,2038,0,29729
278,37269,5244,1964,14207,779,152,3180,0,62796
279,20068,463,1161,10377,264,0,2643,0,34977
280,5270,126,271,2654,0,1298,319,0,9939
281,8323,956,1568,5273,615,1115,1337,139,19325
282,7919,1285,177,3844,177,979,2561,0,16941
283,3010,461,242,1091,0,43,424,43,5315
284,13231,978,312,6798,687,376,1374,531,24287
285,26094,4514,1131,13504,1734,432,2353,412,50174
286,3321,40,0,470,0,203,151,0,4185
287,5931,559,928,2970,790,104,351,104,11737
288,3776,915,1333,2785,68,247,155,0,9280
289,12913,1789,0,7331,0,362,0,476,22871
290,12127,1011,1314,5981,555,204,2240,0,23432
291,20514,2891,1707,11651,0,0,1380,82,38225
292,17526,1164,206,6184,606,0,885,0,26570
293,22746,2381,1620,11929,0,766,2573,0,42016
294,35223,1425,0,8602,0,0,0,0,45249
295,27945,1757,1107,17007,0,0,1107,0,48923
296,704,0,0,590,0,0,0,0,1295
297,609,40,50,277,115,66,101,0,1256
