05_ZResidencia,05_RF1,05_RF2,05_RF3,05_RF4,05_RF5,05_Total
420,594,2135,1025,73,633,4460
421,1431,7755,4414,502,726,14828
422,599,13062,23804,10591,7704,55759
423,717,11778,14923,3330,703,31451
424,1251,12254,9300,478,519,23802
425,6943,11720,8180,0,0,26843
426,649,4769,9838,3935,451,19642
427,2697,16364,21959,419,487,41926
428,7170,26752,14399,3669,0,51991
429,3251,22821,30085,1997,1558,59712
430,5808,21448,10600,3014,0,40870
431,18593,53548,29495,4122,0,105758
432,9523,51461,35529,6982,7947,111442
433,26461,67599,23845,0,0,117905
434,1269,1701,68,0,0,3039
435,6413,12737,13870,1144,0,34164
436,18573,68890,40420,0,0,127883
437,55311,82303,30242,0,0,167856
438,31664,50478,13619,0,0,95761
439,6982,12255,5260,775,0,25272
440,12812,41897,18029,8497,0,81235
441,7158,8472,6665,530,0,22824
442,2657,6127,4458,486,0,13728
443,3106,6179,3629,0,0,12913
444,10233,22684,1997,678,0,35592
445,9643,35806,44753,2053,3226,95482
446,4848,20874,24560,2605,2101,54988
447,954,9143,23840,7830,2706,44474
448,2211,13849,19785,5810,3818,45474
449,2779,13795,38104,8447,4080,67205
450,36450,82406,43089,8201,2114,172260
451,12049,65793,18008,4721,1601,102171
452,11027,21500,14610,0,0,47137
453,7378,11135,12107,0,0,30620
454,30597,61595,47660,3077,0,142929
455,16914,15697,19937,944,3934,57426
456,24245,62953,9396,0,3012,99606
457,19759,61180,22459,4558,0,107955
458,8113,37917,15213,0,0,61243
459,18982,47439,7966,0,131,74517
460,6262,27145,19551,5174,1003,59135
461,5441,27015,14091,1531,0,48079
462,22288,57477,18341,2864,0,100971
463,18330,40070,8434,0,0,66834
464,21709,31038,18244,1708,0,72698
465,28083,56097,30036,1810,0,116026
466,16561,31335,7830,0,0,55726
467,4917,11237,2697,522,223,19597
468,36776,88959,26883,0,0,152618
469,1991,2545,630,92,0,5258
470,2453,3573,1908,0,0,7934
471,5232,7312,2067,215,380,15205
472,5950,29278,4730,0,0,39958
473,4928,11513,3037,1475,0,20953
474,2487,3171,293,0,0,5951
475,10267,13993,5301,433,0,29995
476,21588,38037,17270,4043,2030,82967
477,8241,14831,11514,4022,7697,46305
478,0,0,0,0,0,0
479,0,0,0,0,0,0
480,5472,27796,8521,0,261,42050
481,9297,45220,10273,0,0,64790
482,4144,11191,4187,0,272,19794
483,46,1002,1243,145,883,3319
484,33562,81819,15068,1244,0,131693
485,22298,60778,23565,4032,0,110673
486,14917,46584,8143,0,0,69644
487,3576,18323,9685,433,1767,33783
488,12603,22315,3866,1806,3057,43648
489,710,1112,2036,135,462,4455
490,937,3821,4813,1169,782,11522
491,5496,10910,12727,3071,4695,36900
492,7554,24720,23476,4146,367,60262
493,8291,14416,8324,0,0,31031
494,11947,30257,12989,4964,3406,63563
495,26468,56241,30989,8271,0,121969
496,11028,26863,28455,3261,2452,72059
497,2337,4745,4753,658,296,12790
498,430,6219,4091,186,674,11600
499,35196,55823,34358,2295,1668,129340
500,13191,28094,8532,0,0,49817
501,13092,26120,9370,1407,1313,51302
502,4105,14306,1856,475,0,20742
503,1666,2472,1463,302,0,5903
504,14961,68107,23240,0,0,106308
505,911,1014,2102,1248,2658,7933
506,948,7167,17393,5087,2666,33261
507,2021,8628,7272,1778,3625,23325
508,52192,59080,19698,5655,2228,138853
509,2923,2582,0,0,0,5505
510,0,0,0,0,0,0
511,9707,23231,3178,0,0,36116
512,10888,27593,11533,0,543,50557
513,596,1395,299,147,1151,3587
514,33369,58219,11298,1204,536,104626
515,35537,69720,13229,2336,0,120821
516,11530,43728,43717,14548,18085,131608
517,6641,9212,1988,266,0,18107
