Zona,Pop_GenM_04,Pop_GenF_04,Total
294,52155,61322,113477
295,55436,58744,114180
296,1998,2150,4148
297,1376,1531,2907
298,67684,77964,145648
299,3938,4425,8363
300,15297,19608,34905
301,6091,6392,12483
302,7613,8774,16387
303,5258,5067,10325
304,37412,41226,78638
305,55362,71929,127291
306,37352,44857,82209
307,49041,55375,104416
308,22101,19778,41879
309,31730,34002,65732
310,12084,16211,28295
311,39101,49435,88536
312,17452,20855,38307
313,10417,13849,24266
314,50874,54381,105255
315,59965,62477,122442
316,7103,8457,15560
317,2067,2239,4306
318,9471,13437,22908
319,4915,4100,9015
320,33624,40237,73861
321,20442,22353,42795
322,16949,22491,39440
323,33090,29620,62710
324,27021,44330,71351
325,18328,21729,40057
326,22295,28760,51055
327,8904,10819,19723
328,10792,11865,22657
329,18936,15470,34406
330,19211,23071,42282
331,17197,24980,42177
332,21696,22036,43732
333,9692,10273,19965
334,19767,16916,36683
335,17314,23064,40378
336,22449,23136,45585
337,11110,11427,22537
338,14515,17029,31544
339,0,0,0
340,3515,4223,7738
341,4838,5703,10541
342,15397,20310,35707
343,1897,1680,3577
344,25366,27324,52690
345,18006,23140,41146
346,0,0,0
347,35477,34090,69567
348,2456,2555,5011
349,0,0,0
350,35688,36256,71944
351,33267,42414,75681
352,0,0,0
353,0,0,0
354,0,0,0
355,31173,27451,58624
356,51286,54538,105824
357,2027,3195,5222
358,22302,21602,43904
359,9843,7962,17805
360,10417,7661,18078
361,7092,7814,14906
362,7472,5813,13285
363,17486,24039,41525
364,7018,6401,13419
365,2038,2671,4709
366,16091,15434,31525
367,13320,14464,27784
368,23980,28077,52057
369,23237,32746,55983
370,37545,48241,85786
371,31733,43763,75496
372,33599,33139,66738
373,37787,32892,70679
374,0,0,0
375,46710,40979,87689
376,19980,20472,40452
377,86533,101078,187611
378,45308,53331,98639
379,24419,35697,60116
380,54794,49854,104648
381,0,0,0
382,47098,51673,98771
383,37401,39400,76801
384,13182,15702,28884
385,0,0,0
386,2162,1732,3894
387,37132,38959,76091
388,3173,3221,6394
389,18539,21938,40477
390,6836,6767,13603
391,38348,44268,82616
392,0,0,0
393,48859,55945,104804
394,10210,9829,20039
395,46925,46530,93455
396,54289,52334,106623
397,34921,36677,71598
398,50706,59727,110433
399,34567,35996,70563
400,49219,62729,111948
401,62527,73581,136108
402,10039,10716,20755
403,7746,7991,15737
404,39667,47981,87648
405,16297,17595,33892
406,15947,19171,35118
407,57426,56571,113997
408,22586,24975,47561
409,8491,8303,16794
410,4250,5142,9392
411,7754,7611,15365
412,17670,18660,36330
413,12850,13855,26705
414,16294,15183,31477
415,8314,8245,16559
416,13314,15287,28601
417,20664,23105,43769
418,25623,24865,50488
419,16458,20953,37411
420,2268,2192,4460
421,7243,7585,14828
422,25200,30559,55759
423,14892,16559,31451
424,10209,13593,23802
425,13564,13279,26843
426,9151,10491,19642
427,21245,20681,41926
428,23931,28060,51991
429,33294,26418,59712
430,21894,18976,40870
431,46170,59588,105758
432,49333,62109,111442
433,59089,58816,117905
434,1541,1498,3039
435,16537,17627,34164
436,55783,72100,127883
437,80236,87620,167856
438,47530,48231,95761
439,12379,12893,25272
440,37651,43584,81235
441,9623,13201,22824
442,5729,7999,13728
443,6308,6605,12913
444,15989,19603,35592
445,45008,50473,95482
446,27172,27816,54988
447,21763,22711,44474
448,22184,23290,45474
449,30210,36995,67205
450,83993,88267,172260
451,45436,56735,102171
452,21007,26130,47137
453,14140,16480,30620
454,72839,70090,142929
455,31808,25618,57426
456,49667,49939,99606
457,56478,51477,107955
458,29364,31879,61243
459,32071,42446,74517
460,30498,28637,59135
461,20395,27684,48079
462,45911,55060,100971
463,27448,39386,66834
464,34721,37977,72698
465,55854,60172,116026
466,29524,26202,55726
467,10501,9096,19597
468,69403,83215,152618
469,3013,2245,5258
470,3871,4063,7934
471,7810,7395,15205
472,20009,19949,39958
473,9923,11030,20953
474,2807,3144,5951
475,15077,14918,29995
476,35393,47574,82967
477,23057,23248,46305
478,0,0,0
479,0,0,0
480,18538,23512,42050
481,33879,30911,64790
482,8784,11010,19794
483,1917,1402,3319
484,63345,68348,131693
485,52387,58286,110673
486,34547,35097,69644
487,15801,17982,33783
488,23490,20158,43648
489,2426,2029,4455
490,4855,6667,11522
491,14309,22591,36900
492,29919,30343,60262
493,14535,16496,31031
494,31067,32496,63563
495,53049,68920,121969
496,36541,35518,72059
497,6021,6769,12790
498,4407,7193,11600
499,61100,68240,129340
500,22917,26900,49817
