18_ZOrigem,18_TrabInd,18_TrabCom,18_TrabSer,18_Educ,18_Compras,18_Saude,18_Lazer,18_ProcEmp,18_AssPess,18_Refeic,18_Total
498,2433,3773,22213,11071,1574,559,1078,675,2341,1470,47188
499,7676,14581,41585,67423,5191,6001,5504,198,11500,181,159840
500,4721,10377,21628,28662,1831,1732,3193,195,5575,134,78050
501,4383,10901,22429,37278,175,2099,630,375,17506,35,95811
502,4670,5598,20962,9815,344,2238,191,0,2055,172,46045
503,4886,1792,7194,4991,670,546,34,0,6490,441,27045
504,15347,14390,33075,68012,645,1795,4266,0,11697,139,149366
505,379,732,3417,4250,157,118,280,13,686,0,10033
506,7385,8496,30303,22154,2164,3755,2722,0,4165,247,81392
507,13279,3435,18601,13273,1425,1110,2107,713,1815,0,55758
508,19875,16992,63276,92101,6012,13435,9341,918,21628,1069,244647
509,200,1117,1318,2267,356,588,221,0,823,0,6891
510,0,0,0,0,0,0,0,0,0,0,0
511,4654,3579,16112,28400,1675,422,0,137,2779,0,57758
512,12053,5954,26150,39063,594,2025,2084,0,8075,143,96143
513,227,118,916,1537,0,0,0,0,170,0,2968
514,11907,7165,35173,66780,10840,9544,1984,0,13262,233,156889
515,18345,15761,36639,60358,5085,6892,2147,0,9677,44,154950
516,20873,18415,75171,81590,2326,7192,965,0,5763,1311,213607
517,1488,2646,7594,10967,0,58,0,0,167,0,22920
