18_ZOrigem,18_TrabInd,18_TrabCom,18_TrabSer,18_Educ,18_Compras,18_Saude,18_Lazer,18_ProcEmp,18_AssPess,18_Refeic,18_Total
292,3070,12506,24895,43790,3995,4105,4667,1203,2229,0,100460
293,2890,12059,43301,55050,3083,9653,8448,1352,9030,1236,146103
294,3709,16943,37814,93115,7696,2589,6118,542,1567,0,170092
295,5451,9549,37647,77279,10656,4687,17102,895,6197,0,169462
296,743,98,1436,3712,304,72,2647,0,33,0,9045
297,485,344,1155,1642,274,48,53,34,62,0,4098
298,6532,18642,52590,105141,6745,13729,6748,907,9293,94,220424
299,817,1635,1903,3616,0,979,686,0,793,0,10429
300,14855,20169,110679,53966,15883,6226,10698,1893,16317,18112,268798
301,991,4044,21358,8742,1216,6993,3323,0,2824,895,50386
302,2462,11574,31950,27894,15597,12557,5440,544,9287,2233,119538
303,4427,8416,36041,54267,6193,3576,3936,768,11340,2409,131372
304,5222,9510,59213,66288,3294,3433,7208,270,7840,662,162940
305,8879,23874,55224,83571,7887,9639,2729,1854,12388,1547,207592
306,6964,9244,31574,41498,3760,2769,2196,0,2709,0,100713
307,7828,12289,41759,59092,6267,8485,2069,1541,6684,454,146468
308,2373,3238,18128,32757,330,465,2827,0,703,0,60820
309,2402,5197,21031,32536,3630,5801,3294,162,4386,0,78440
310,564,3033,6881,10644,978,3534,2221,282,597,0,28733
311,4551,14243,35947,67484,5255,5756,7685,0,9285,0,150206
312,3461,4495,20660,42890,4521,575,8369,270,8527,216,93983
313,2089,2486,12530,22590,2695,1062,573,250,1032,0,45307
314,9934,8142,56796,81275,3634,13236,3654,0,9635,0,186306
315,7625,18870,45603,78311,4229,6473,3991,371,8869,731,175072
316,2238,2823,16825,17447,1198,3044,1107,0,1566,753,47001
317,766,1005,9803,3210,565,278,707,51,1500,483,18368
318,780,5831,25657,9549,2190,1393,1448,0,617,367,47831
319,1340,1488,19659,9847,821,2008,2004,507,1565,614,39853
320,3662,8029,28260,43235,2378,4561,5173,1303,3665,0,100266
321,3692,7101,34299,34620,5095,2593,6875,222,3260,2277,100031
322,5364,14554,23486,26498,2649,2060,5400,282,1936,1221,83449
323,4529,3577,26569,39551,4661,2659,4505,95,10248,0,96394
324,4309,7424,33362,36977,3581,4929,1829,0,5066,77,97554
325,1384,10293,20437,44132,1497,2622,1895,0,5663,0,87923
326,5320,4089,20639,25611,603,2232,4304,0,3155,0,65954
327,2101,834,14148,8370,2298,1267,807,0,1645,145,31616
328,1079,2175,21410,16263,1512,909,2279,272,5631,99,51627
329,4909,6562,26104,24553,7677,2821,4692,50,12015,522,89906
330,3029,7937,23831,14711,4720,2935,3701,0,2023,547,63434
331,4198,5587,23037,23739,9366,2029,317,503,1399,27,70202
332,5385,3448,21272,33138,4935,2109,3341,0,7548,487,81663
333,3424,3841,8337,13036,2239,822,486,97,1986,222,34489
334,3450,6679,25891,22888,2580,1211,973,0,4276,242,68189
335,3239,3676,21742,26913,3436,3881,1938,0,3947,0,68772
336,4788,8433,19390,22466,1743,374,1218,0,1885,464,60761
337,3227,2783,18462,15368,1119,1353,2605,0,6287,1108,52312
338,9238,4314,27978,20475,1494,1883,2298,639,2570,555,71443
339,823,1271,28607,44640,1198,2904,2566,0,5245,2450,89704
340,3790,833,14925,7076,3933,1103,2241,15,4873,718,39506
341,969,3461,10303,9442,1202,1199,963,0,1549,928,30016
342,3414,6093,24796,21669,4668,2703,1785,302,4127,102,69660
343,353,135,1730,1093,40,192,25,0,231,0,3799
344,13455,8450,32354,35923,5553,4600,3822,233,4083,733,109204
345,3204,4934,10768,15959,704,778,1018,0,1295,13,38674
346,125,0,0,0,0,0,0,0,0,0,125
347,20107,7249,33524,45854,1496,372,2471,1657,3108,2394,118233
348,2019,261,3355,2777,25,180,183,53,295,0,9150
349,0,0,292,0,0,0,0,0,0,0,292
350,4359,4926,20341,31432,1089,659,0,0,2156,0,64961
351,5031,6501,28757,65160,4197,892,1798,0,4711,69,117117
352,511,1864,2704,0,1754,0,0,0,0,0,6833
353,0,0,379,0,0,0,0,0,0,0,379
354,0,493,0,0,0,0,0,0,0,0,493
355,1563,10841,30361,37733,3599,567,0,0,3139,0,87804
356,11664,11249,32358,68725,1241,1361,1715,362,2958,0,131633
357,275,135,1358,2875,0,68,83,0,0,0,4794
358,7085,4282,14409,17786,2448,1229,2288,0,4741,1018,55285
359,2205,548,11660,6895,950,118,291,0,1429,460,24556
360,5846,3196,5193,6430,479,1318,2345,0,2132,267,27205
361,4107,929,3076,4601,603,239,0,0,2786,0,16341
362,3044,7029,34616,36194,6981,16686,4751,0,10022,2280,121603
363,4483,8185,39723,35545,9196,9816,5313,277,9737,5187,127463
364,17668,2865,12256,6292,418,122,682,864,948,410,42524
365,6396,2990,8285,1627,1711,371,1765,1812,831,0,25788
366,12186,11043,30463,22591,6376,2288,5294,245,6639,784,97909
367,1968,2990,17975,14250,2178,3093,2907,0,4949,0,50310
368,3302,10078,29632,32548,6182,5587,1945,0,2211,1390,92874
369,10985,11456,25062,42345,3887,2201,8012,279,8143,2483,114853
370,13535,10316,50222,51331,8138,6104,6452,0,14272,380,160750
371,7778,6526,31149,51762,433,1618,3372,0,2058,1001,105695
372,6819,7483,23349,40679,4795,9681,1714,0,7850,0,102370
373,10674,9616,26066,57402,2425,5773,23303,609,8190,783,144842
374,1940,1167,23526,1396,0,0,2246,0,10640,0,40916
375,24563,6863,26395,53074,1913,7457,4615,92,2918,89,127979
376,19335,5100,15187,32162,5855,1756,3846,0,7975,1233,92450
377,42362,39672,67492,139327,16382,13679,28010,971,15928,918,364741
378,22414,10672,38055,49814,2857,2218,3284,0,2897,1205,133417
379,7724,18112,23906,29906,7543,1199,0,117,2611,24,91141
380,14053,16298,28388,56708,6166,8628,4851,925,1173,0,137191
381,0,0,0,0,0,0,0,0,0,0,0
382,14399,10820,28422,73208,11548,7216,18196,1377,11618,1238,178041
383,8645,9439,20479,57495,4305,2157,1352,723,4793,530,109919
384,6499,3417,11511,21097,1553,1118,3734,0,981,0,49910
385,332,0,512,0,0,0,0,0,0,0,844
386,3036,590,1165,4190,300,252,337,0,158,0,10029
387,15146,8187,20173,70584,4491,6710,3367,0,2716,157,131530
388,1931,621,3037,3934,153,18,0,0,279,0,9972
389,4013,4546,23348,17933,12169,3652,2223,143,7741,582,76350
390,4304,1290,3416,3269,2249,115,0,0,1741,0,16384
391,8090,5534,34852,40579,3413,4241,3368,1970,7090,0,109136
392,0,0,677,0,0,0,0,0,300,0,978
393,20158,11879,29755,57021,6298,6595,2500,627,9925,246,145005
394,4040,679,7682,13975,1422,2215,2215,73,1960,0,34263
395,10378,15832,43797,71486,1081,1133,1960,558,928,578,147730
396,23899,14674,33065,61725,19496,8041,15241,290,14113,888,191433
397,19990,8262,19091,49419,5193,1959,3383,3027,7048,0,117372
398,20804,20930,17718,70860,2108,7389,5810,654,4045,960,151278
399,8958,3384,16332,42648,2442,1181,237,129,3073,0,78385
400,23872,27075,21659,65457,7646,3396,5417,2864,7020,0,164405
401,27916,16890,53244,130477,10156,15696,15774,4667,26858,2372,304051
