17_ZOrigem,17_Coletvo,17_Indiv,17_MMotor,17_MNMotor,17_Total
239,33195,33645,66840,14109,80949
240,20158,20539,40697,15258,55955
241,12661,9707,22368,7715,30083
242,24164,9180,33344,19275,52620
243,24787,25633,50420,43254,93674
244,36428,25833,62261,48772,111032
245,11062,7768,18830,13966,32796
246,23448,13237,36685,10205,46890
247,71496,50187,121683,77678,199361
248,1514,4109,5623,359,5983
249,19227,24604,43831,20898,64729
250,15482,18844,34326,12093,46419
251,15849,15684,31533,6945,38478
252,15667,11620,27287,17661,44948
253,6741,3430,10171,3050,13221
254,49973,37298,87271,17899,105170
255,26177,61646,87822,41938,129760
256,19420,15477,34897,8443,43340
257,19104,23547,42650,17523,60173
258,43386,26721,70107,24452,94559
259,16385,12798,29182,19550,48732
260,21974,9117,31090,25879,56969
261,34177,27489,61666,22804,84470
262,35252,36082,71334,43038,114372
263,42050,24954,67004,49246,116249
264,46736,25888,72625,35554,108178
265,29914,32101,62015,37922,99937
266,6369,8178,14547,7581,22129
267,19765,15891,35656,19005,54660
268,12900,18365,31265,8520,39785
269,23295,27440,50736,16287,67022
270,8486,13776,22263,5261,27524
271,7547,13948,21494,1302,22796
272,11767,21065,32832,8448,41280
273,39405,45357,84762,33679,118441
274,50135,43101,93236,42689,135926
275,42548,34913,77461,35718,113179
276,54960,61960,116920,43022,159942
277,35042,45956,80998,43164,124162
278,69162,47043,116205,93473,209678
279,43860,14002,57862,44160,102021
280,40530,24371,64901,13593,78495
281,30807,38066,68873,16146,85019
282,27289,35811,63100,23788,86888
283,7448,6236,13684,5518,19202
284,37543,18595,56138,25836,81974
285,50090,44649,94739,74876,169615
286,25696,19787,45483,5378,50861
287,22024,29120,51144,19600,70743
288,27061,10489,37550,12285,49835
289,40388,22142,62530,32284,94814
290,34716,16809,51525,38359,89885
291,52271,46386,98657,34542,133199
292,34618,31264,65882,34578,100460
293,69233,24097,93330,52773,146103
294,72792,12487,85279,84813,170092
295,73271,37120,110390,59072,169462
296,5010,2908,7917,1128,9045
297,2025,1406,3432,667,4098
298,94125,35188,129313,91111,220424
299,5825,2173,7998,2431,10429
300,108576,98192,206768,62030,268798
301,21541,24335,45876,4510,50386
302,69378,33482,102860,16677,119538
303,83482,32109,115591,15781,131372
304,61555,36341,97895,65045,162940
305,82734,35818,118552,89040,207592
306,41852,12162,54014,46699,100713
307,73558,22793,96350,50118,146468
308,23412,5257,28669,32151,60820
309,41677,12205,53881,24559,78440
310,12405,6119,18524,10209,28733
311,65185,30647,95832,54374,150206
312,34525,32934,67459,26524,93983
313,16700,10940,27640,17667,45307
314,89470,27786,117255,69051,186306
315,71358,25844,97202,77869,175072
316,15466,25942,41407,5594,47001
317,7487,10079,17566,803,18368
318,19354,17499,36854,10978,47831
319,18085,16580,34665,5188,39853
320,33487,15613,49100,51166,100266
321,28916,45148,74064,25967,100031
322,29232,37740,66973,16477,83449
323,42932,23457,66390,30004,96394
324,50795,17773,68568,28986,97554
325,25943,30362,56305,31618,87923
326,29165,24413,53578,12375,65954
327,8062,15607,23670,7946,31616
328,17221,25924,43145,8481,51627
329,25438,46682,72120,17786,89906
330,19661,29835,49496,13938,63434
331,27900,24284,52184,18018,70202
332,23923,21343,45265,36398,81663
333,15054,10774,25829,8661,34489
334,21054,29224,50278,17912,68189
335,21091,23314,44405,24367,68772
336,30566,15801,46367,14395,60761
337,21712,21190,42902,9410,52312
338,26184,20491,46676,24767,71443
339,46395,34520,80914,8789,89704
340,16890,18600,35489,4017,39506
341,8240,14439,22679,7337,30016
342,20112,32637,52749,16911,69660
343,1179,1959,3138,661,3799
344,37216,39526,76742,32461,109204
345,12243,8560,20804,17870,38674
346,0,125,125,0,125
347,40085,27067,67151,51081,118233
