16_ZOrigem,16_Metro,16_Trem,16_Onibus,16_TFret,16_TEscola,16_DirAuto,16_PAutomo,16_TaxCon,16_TaxNCon,16_DirMoto,16_PMoto,16_Bicicle,16_APé,16_Outros,16_Total
362,1327,526,49700,389,3958,26749,13689,484,1572,5022,0,0,18186,0,121603
363,2157,0,28569,563,5663,37231,15432,256,1635,1197,0,1146,33615,0,127463
364,1017,1850,11311,736,1950,11243,1468,0,0,1299,404,290,10957,0,42524
365,367,0,11767,748,138,6866,1231,13,315,236,0,63,4043,0,25788
366,4458,334,24475,1476,2256,29870,8911,380,129,3587,821,390,20498,324,97909
367,893,0,10074,89,2404,10208,8620,113,0,1175,0,901,15833,0,50310
368,520,0,19776,0,1149,23331,8139,0,401,1069,0,0,38489,0,92874
369,4966,0,20296,717,7488,30819,13290,359,0,1535,0,0,34906,477,114853
370,1115,0,35846,0,15404,41397,13088,0,562,9929,3274,63,38440,1633,160750
371,2740,0,17729,0,6129,24026,17439,1610,749,922,0,932,33421,0,105695
372,3844,6196,19798,716,8262,22097,9167,256,744,0,0,0,31290,0,102370
373,4170,750,26498,0,6932,27738,25375,0,1380,6401,336,901,43085,1277,144842
374,1320,6782,11039,1164,0,12229,2642,181,2834,1231,1065,0,428,0,40916
375,3723,0,26451,429,10166,21041,11459,0,0,2251,0,7620,44838,0,127979
376,1431,400,11220,944,7335,18236,5195,0,0,0,0,3352,42405,1932,92450
377,9164,3116,52891,2958,20801,56549,36740,0,845,3783,404,4755,170434,2301,364741
378,7720,0,23736,1711,14076,25388,7260,0,998,1222,0,1750,48880,674,133417
379,1250,0,15701,0,5019,21283,4610,0,1199,803,0,952,39755,569,91141
380,1762,774,43189,266,8979,8465,5315,0,749,2094,0,2429,61512,1657,137191
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,842,701,45473,1484,11578,22723,15688,151,5444,2713,0,4386,66525,333,178041
383,0,0,23304,1755,11499,7910,7932,0,0,1272,0,0,56247,0,109919
384,1681,0,7708,1706,3833,7131,2135,0,246,0,0,0,24537,933,49910
385,0,0,0,0,0,0,512,0,0,0,0,0,332,0,844
386,0,0,2308,0,395,1912,588,0,0,339,0,242,4246,0,10029
387,3873,0,25274,1392,10361,21483,10230,0,0,2246,0,728,55487,456,131530
388,0,0,1458,150,1222,2189,1099,0,0,155,0,176,3400,123,9972
389,280,0,10789,2425,2331,8461,6385,3873,0,4337,0,1420,35297,752,76350
390,0,0,2932,859,1149,2044,3829,0,0,1060,0,2617,1841,53,16384
391,11822,9517,11883,492,9213,16642,8374,0,3559,0,0,0,36881,754,109136
392,0,978,0,0,0,0,0,0,0,0,0,0,0,0,978
393,13888,8616,13335,384,4061,22660,13471,0,1872,2360,0,382,63976,0,145005
394,1334,3228,2352,0,2443,3999,2512,0,0,957,0,443,16994,0,34263
395,4742,13856,20101,0,8926,20943,10235,0,405,2254,0,5967,59657,643,147730
396,7498,14717,19294,301,2816,32846,21043,0,1589,3576,304,1901,85547,0,191433
397,2253,5703,24670,0,10341,15076,6600,0,246,867,304,2820,48492,0,117372
398,3421,1490,15862,2271,5667,24675,12647,1536,0,6851,2360,1464,72552,482,151278
399,5118,5234,9012,993,9672,7320,3270,0,0,1193,0,756,35730,87,78385
400,5535,10600,18688,5278,9533,19762,7455,0,1039,2955,0,3772,78127,1663,164405
401,5347,11992,40685,4779,19420,49314,26950,0,1438,1352,308,11295,130100,1072,304051
402,264,1401,5126,440,2579,4165,2250,0,54,0,0,2132,11086,0,29496
403,315,962,3209,1723,2524,2183,1448,0,0,0,0,2116,8672,0,23150
404,2698,8388,32984,2111,1236,65961,37017,2085,487,4369,0,3898,84701,149,246083
405,1340,5759,18066,2164,1840,16997,7467,0,1071,3253,106,2149,18402,0,78612
406,1646,6596,25173,3499,398,23095,10890,0,487,1639,593,1337,16686,487,92525
407,2619,4518,36017,2129,2877,36570,21572,0,0,5816,0,3031,79006,0,194155
408,2578,3463,11711,279,3262,7317,4137,0,0,1035,243,1056,29860,0,64941
409,951,717,4326,155,1775,3820,2020,0,0,548,69,0,10320,0,24702
410,190,84,3518,0,1652,4203,1317,0,0,1416,348,363,3536,0,16628
411,266,144,4829,481,1219,4838,3950,0,1071,930,0,104,6655,0,24487
412,407,1445,12284,860,694,11446,5827,0,0,2320,273,235,19106,0,54898
413,0,1653,6030,0,5298,4029,3421,0,0,542,472,577,14448,0,36469
414,0,320,3351,557,4513,10624,3171,1557,0,803,0,2705,27476,149,55225
415,0,0,1996,2031,1771,4146,1901,0,239,32,0,856,18474,246,31693
416,210,0,1305,420,4267,8749,4363,0,0,1287,233,5694,19999,246,46774
417,3349,2959,6966,0,4530,26760,13306,0,1693,5405,1020,1047,43564,488,111088
418,3311,2408,7756,392,3953,27722,8462,0,1756,4626,1308,0,29955,488,92138
419,2311,1770,8862,134,6548,20175,9386,40,121,10331,387,98,34874,0,95037
420,280,28,4435,0,163,8062,1419,0,145,286,0,461,3902,0,19182
421,4005,8837,10872,3604,794,22003,3395,0,111,2101,44,321,21839,1397,79322
422,12971,18880,84104,3091,7234,97941,47086,1220,4127,5991,0,851,51188,903,335586
423,935,1546,5220,182,3624,19833,9197,770,15,996,0,0,6665,0,48982
424,1081,1221,11831,688,3129,12694,3994,297,1222,538,0,0,11271,0,47965
425,884,0,4536,588,161,6602,6412,0,1672,453,0,844,15078,0,37229
426,1225,2879,7549,902,4562,17176,3194,45,1009,422,0,2288,9106,0,50356
427,4298,5214,3735,1715,1923,17240,10921,0,1168,1160,0,0,24963,0,72338
428,858,4774,10978,1384,3260,25108,15516,0,810,232,0,314,26922,839,90994
429,2316,2105,9790,790,5961,32226,9623,0,0,1740,0,0,35334,839,100723
430,3364,4323,10427,814,3480,14153,8818,0,142,2063,428,208,19590,0,67809
431,3453,5496,29656,6726,4341,42663,30282,0,1111,4441,0,1546,52950,0,182665
432,7934,4209,26322,1455,2990,55761,38140,0,3279,3572,0,0,38363,0,182026
433,510,2654,37366,3340,5539,30125,9545,0,0,6884,428,2286,41417,0,140093
434,43,594,877,41,442,933,2632,0,0,63,0,81,665,0,6371
435,2875,5455,12862,7332,5915,20482,3782,0,217,2165,0,0,15018,0,76102
436,4773,15130,41245,1414,23831,57247,22115,322,3885,1945,0,0,89274,1536,262717
437,7210,14649,33437,8294,8152,32741,15387,0,73,1882,661,0,108526,0,231013
438,3880,8172,21432,2901,5810,22385,6947,0,0,352,188,0,51182,0,123249
439,977,1293,5215,713,752,5607,2735,0,0,1105,0,0,8170,0,26567
440,9812,12033,26866,2468,14941,40826,21671,0,386,1861,0,7917,36403,1233,176418
441,842,1401,5448,468,4012,4876,2436,0,158,0,0,339,6542,0,26523
442,1139,1353,2576,268,2302,3988,2184,0,73,0,0,541,3807,0,18232
443,324,1994,1550,0,2615,1656,622,0,0,446,0,0,5230,0,14438
444,904,5160,2059,0,7356,4422,1969,0,0,945,0,0,24475,0,47291
445,2682,0,32269,2117,15376,47380,19749,0,4479,7761,2486,0,43685,0,177986
446,2285,0,15172,7162,4431,32628,11681,0,808,3433,0,1202,38624,139,117564
447,717,324,19201,2017,3837,30587,16442,0,668,4748,339,439,24772,436,104527
448,1641,1761,29520,0,7307,34617,15386,140,547,6604,0,1551,38485,1212,138770
449,3396,5669,66807,2588,12437,74605,28411,0,5168,9221,323,549,43502,0,252676
450,987,0,54531,3760,11110,42038,21987,0,1729,7226,708,3402,102785,0,250264
451,2079,0,35512,2195,13031,39053,15010,0,2128,4489,227,0,52093,0,165816
452,586,133,10594,436,3932,10486,4317,0,0,2250,227,836,27256,0,61053
453,809,0,6137,375,6107,6962,1141,0,0,2286,0,0,10629,0,34445
454,1346,592,49017,2308,13186,35446,13873,0,378,6513,751,3742,98779,0,225931
455,8343,1254,30691,975,8182,35112,16478,0,4113,2939,111,1385,69119,0,178702
456,5535,742,30667,3119,6362,24763,13791,0,0,9687,982,2306,68696,0,166649
457,4298,509,20657,2925,2822,34815,11755,0,1404,6582,1786,1393,94794,0,183740
458,4651,0,19077,1191,2817,13213,6108,0,898,6209,0,1132,36812,0,92108
459,1723,0,20698,266,7580,7858,4445,0,0,1433,369,0,39511,0,83883
460,4876,1184,30870,955,5998,27163,9464,0,676,5546,0,488,36300,803,124323
461,4614,0,11802,243,2710,16111,7823,0,676,4209,962,1052,28023,92,78318
462,6334,0,31497,1321,5911,16728,11446,0,0,7878,439,2046,63485,0,147085
463,3214,0,16800,0,7795,9851,5136,0,0,5373,563,0,68288,0,117019
464,7301,0,18522,0,3792,15447,6231,0,0,8419,3688,0,53362,0,116762
465,13523,651,22495,1143,10965,30429,20629,0,529,9465,1944,3300,70551,1235,186860
466,2634,0,28410,2628,9066,27300,10966,0,630,5669,1186,1143,47315,773,137721
467,1896,0,6511,244,4036,6966,3361,0,0,568,0,159,9238,0,32979
468,15856,354,49166,76,20376,41601,32972,0,539,11648,2633,4717,79768,287,259992
469,240,0,867,76,1349,1392,484,0,0,237,0,0,2013,0,6658
470,0,0,2472,770,1654,3560,1957,0,0,664,0,159,3552,439,15227
471,324,0,1596,107,3591,4409,901,0,0,254,0,0,8961,0,20143
472,2480,401,12366,139,8191,11756,12209,326,0,3049,207,262,20213,139,71737
473,687,1706,5235,0,4178,3494,4192,0,0,1464,87,785,3601,87,25517
474,316,0,2327,349,3010,802,646,0,0,319,0,0,997,0,8766
475,246,0,5003,769,9096,6794,3896,0,0,1645,594,683,14873,261,43860
476,3607,7657,36405,262,14711,43766,17714,0,405,9140,405,224,39045,1477,174819
477,1179,1601,17624,1479,10791,33887,11376,0,639,4270,0,1071,35605,0,119522
478,1512,3967,35087,6479,259,39613,11388,503,1960,10710,1721,0,13985,333,127518
479,332,2663,2803,0,627,2674,1585,0,1660,131,0,0,3226,0,15700
480,0,1159,11954,624,6769,13496,7679,0,0,0,0,224,20122,0,62026
481,1417,5797,14547,0,4234,16842,10533,0,2078,8477,2523,0,40671,0,107120
482,765,2719,4931,134,1765,10733,4006,0,0,1185,308,1333,14735,0,42616
483,153,540,1680,1098,821,4544,2230,0,0,2,0,0,937,0,12005
484,5526,13683,28110,1141,14805,19393,9070,0,167,4182,0,0,52731,443,149252
485,6443,15516,36143,1537,13382,28244,13719,0,0,3516,0,378,75251,449,194579
486,4213,4617,14090,96,2968,21613,15738,0,0,1081,250,0,47823,3344,115834
487,1210,2628,8658,354,3199,9588,3786,0,0,1053,461,196,11217,0,42351
488,1693,877,7410,454,3662,11022,5042,0,162,1362,0,0,35446,449,67580
489,1563,8979,30304,202,4217,18305,11573,76,2201,3674,247,0,8768,0,90109
490,2405,4644,18865,971,4183,22920,8167,149,344,1843,0,39,8812,452,73794
491,1624,6621,12834,1067,7901,17383,7204,0,722,2011,0,272,15669,0,73308
492,5553,6893,19556,749,8411,41634,15930,0,2523,6793,1282,1435,48569,0,159327
493,1155,732,8456,0,2944,7028,1977,0,0,280,0,117,12932,131,35751
494,4312,4040,10907,967,6326,13326,6438,0,0,2897,0,0,37075,0,86288
495,4472,2363,26066,607,16020,25067,17631,0,275,3405,856,768,51225,0,148756
496,5690,7289,8588,647,4211,29589,19351,0,0,4242,0,1163,28864,510,110145
497,197,394,3166,440,1358,5488,1115,0,156,1220,0,102,8295,0,21929
498,2292,4902,6414,0,1166,13328,3598,80,391,2327,0,196,12488,7,47188
499,2631,5684,31125,1482,10914,22220,13568,0,108,3609,477,901,67120,0,159840
500,1767,3625,12284,0,4728,14964,6305,0,606,200,0,832,32741,0,78050
501,928,3439,17070,98,3951,15347,8202,0,396,2681,0,1010,42689,0,95811
502,1588,3457,13854,1090,167,8974,1712,0,26,2455,0,482,11673,567,46045
503,598,4737,2734,643,86,5808,5928,0,0,913,0,0,5513,87,27045
504,3927,10480,14242,1341,1416,19829,13359,0,47,12499,3313,0,68913,0,149366
505,419,840,610,0,554,4188,1675,0,52,99,0,0,1595,0,10033
506,2612,1068,18322,258,6772,25205,9872,0,240,3196,0,975,12666,205,81392
507,1870,0,14515,182,1407,18302,6492,0,0,4228,0,0,8318,443,55758
508,2301,759,53280,2936,8584,65706,25368,0,343,10370,714,612,73468,205,244647
509,163,0,1175,0,1209,1499,1088,0,0,297,0,0,1461,0,6891
510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,597,516,6685,265,4018,11440,4408,0,0,2063,0,612,27084,70,57758
512,981,786,12551,0,7432,24112,9213,0,228,1248,0,0,38647,944,96143
513,127,255,261,0,333,1069,488,0,0,39,0,92,303,0,2968
514,5677,15131,17907,2440,11203,26445,11383,0,2640,2969,780,488,59826,0,156889
515,4253,14940,21351,4693,8834,20892,14752,0,1608,8470,1175,581,53402,0,154950
516,3567,1515,39764,2423,17635,63548,21269,0,1571,8898,0,517,52786,115,213607
517,83,152,2700,167,3145,1966,577,0,0,324,83,0,13723,0,22920
