Zona,TMV_Col_20,TMV_Ind_20,TMV_Ape_20,TMV_Bic_20,Total
263,54,29,16,0,99
264,60,32,13,32,137
265,56,21,11,0,88
266,58,39,15,0,113
267,57,28,16,20,121
268,52,29,12,20,113
269,75,24,10,12,122
270,61,31,11,0,104
271,99,55,19,0,173
272,57,30,14,12,112
273,49,20,13,0,83
274,59,20,13,25,117
275,50,24,12,0,85
276,45,20,12,0,76
277,47,21,11,15,95
278,55,24,12,10,100
279,48,38,11,0,97
280,64,32,17,53,165
281,57,23,11,0,92
282,66,28,9,0,103
283,69,29,11,10,119
284,41,33,9,0,82
285,57,23,13,0,94
286,63,27,19,10,119
287,57,23,16,19,115
288,48,32,15,20,115
289,52,36,12,25,125
290,60,28,14,0,102
291,54,26,15,0,96
292,64,23,10,0,97
293,61,30,16,30,137
294,64,47,18,0,129
295,65,29,14,5,113
296,60,34,12,20,126
297,77,29,12,20,139
298,70,32,14,25,141
299,91,38,7,0,136
300,71,31,12,25,139
301,70,28,11,30,139
302,67,34,11,50,162
303,62,34,12,31,139
304,55,28,12,50,145
305,65,32,11,0,107
306,56,44,9,0,109
307,76,30,9,0,115
308,57,27,10,0,93
309,68,30,15,15,128
310,52,24,14,0,90
311,59,25,12,0,96
312,46,21,12,0,79
313,64,25,12,0,100
314,51,24,13,0,88
315,59,26,12,27,124
316,72,28,16,29,144
317,106,35,7,30,178
318,68,29,9,0,106
319,83,38,13,18,152
320,63,32,18,20,133
321,57,26,13,30,127
322,53,22,17,44,136
323,54,22,11,0,86
324,50,30,17,0,97
325,52,18,9,40,119
326,64,21,12,40,137
327,50,27,16,0,93
328,68,22,12,0,102
329,58,25,14,21,117
330,58,23,14,0,94
331,48,20,12,15,95
332,64,28,11,15,118
333,67,30,9,0,107
334,46,24,16,50,136
335,50,23,13,29,115
336,52,25,13,15,105
337,45,26,13,15,99
338,74,35,15,44,168
339,78,39,17,34,167
340,73,30,10,16,130
341,50,28,12,19,109
342,52,26,17,48,142
343,49,21,18,0,88
344,65,23,12,0,100
345,46,32,15,10,103
346,0,17,0,0,17
347,48,28,14,8,97
348,67,29,16,90,203
349,0,60,0,0,60
350,50,29,21,0,100
351,58,22,15,0,95
352,40,24,25,0,89
353,65,0,0,0,65
354,0,60,0,0,60
355,66,12,12,10,100
356,71,28,13,0,112
357,86,19,15,0,120
358,52,25,16,31,124
359,47,24,20,0,90
360,55,36,23,32,146
361,44,20,14,5,83
362,54,27,11,0,93
363,50,22,11,16,100
364,64,36,18,23,140
365,57,33,15,20,125
366,64,26,13,70,173
367,48,19,10,10,87
368,51,21,12,0,84
369,40,16,13,0,69
370,38,22,16,20,96
371,47,15,12,18,91
372,44,23,8,0,75
373,49,17,13,10,89
374,65,57,52,0,174
375,48,23,10,20,101
376,48,29,13,10,100
377,60,25,12,40,138
378,60,33,11,45,149
379,39,21,10,10,80
380,45,21,13,10,89
381,0,0,0,0,0
382,43,20,12,22,97
383,41,22,9,0,73
384,58,30,10,0,98
385,0,60,45,0,105
386,55,37,13,10,115
387,52,27,13,27,119
388,43,24,11,30,108
389,48,20,12,29,109
390,35,25,13,17,91
391,64,21,10,0,94
392,78,0,0,0,78
393,72,24,13,20,129
394,73,34,9,25,141
395,54,22,15,23,114
396,71,20,13,24,128
397,50,25,15,24,114
398,72,23,13,26,134
399,66,32,11,30,139
400,69,32,10,23,134
401,51,21,16,23,110
402,59,38,13,32,142
403,59,27,11,22,119
404,53,16,15,22,107
405,58,22,19,28,128
406,52,21,20,27,121
407,56,18,13,31,118
408,63,29,18,30,140
409,68,27,13,0,108
410,69,21,15,91,196
411,49,21,8,20,98
412,51,26,17,20,113
413,50,31,12,40,133
