Zona,RF1_05,RF2_05,RF3_05,RF4_05,RF5_05,Total
132,NA,NA,NA,NA,NA,0
133,2.84,28.3,30.29,13.26,25.33,36442
134,12.97,21.92,37.18,18.63,9.33,28827
135,11.19,15.48,48.3,17.54,7.51,38163
136,21.5,39.97,25.4,11.11,2.03,32570
137,13.1,36.2,43.74,4.05,2.93,53439
138,20.57,52.71,14.28,10.2,2.27,7855
139,22.92,34.69,30.25,12.15,0,24309
140,25.1,40.4,30.98,2.02,1.52,47391
141,14.71,44.92,34.44,5.94,0,79276
142,32.9,45.83,17.61,2.71,0.98,66324
143,NA,NA,NA,NA,NA,0
144,13.86,33.98,25.41,10.99,15.78,104526
145,1.86,24,60.99,7.06,6.12,4480
146,NA,NA,NA,NA,NA,0
147,4.04,59.73,20.52,15.45,0.28,33902
148,24.34,47.43,20.68,6.17,1.41,22869
149,NA,NA,NA,NA,NA,0
150,34.47,60.27,5.28,0,0,51558
151,18.05,65.75,14.29,1.07,0.86,109629
152,33.05,25.9,35.23,2.21,3.63,35169
153,4.54,15.35,49.79,12.83,17.51,16284
154,17.33,26.2,28.58,11.47,16.45,45465
155,25.71,51.82,17.69,4.8,0,32242
156,23.75,34.88,40.61,0.78,0,43910
157,9.02,47.91,36.36,6.72,0,19629
158,19.43,28.09,36.09,7.04,9.37,60459
159,30.96,39.36,25.99,3.1,0.62,64171
160,17.68,47.59,19.57,8.49,6.7,50672
161,29.77,54.15,12.21,0,3.9,47297
162,9.81,58.12,23.12,2.34,6.63,15842
163,6.92,31.86,36.91,15.46,8.87,47519
164,13,39.58,46.06,1.36,0,5849
165,18.75,22.65,50.13,5.06,3.43,3184
166,0,29.49,54.78,15.75,0,32876
167,11.31,15.71,55.38,13.55,4.08,17440
168,6.24,29.94,52.8,4.37,6.68,22502
169,7.87,25.23,28.08,27.06,11.79,22460
170,23.42,46.65,22.63,3.88,3.46,34693
171,15.63,50.85,17.19,11.46,4.9,40666
172,7.65,39.43,34.32,16.99,1.64,26788
173,13.53,43.38,39.54,0,3.57,26818
174,10.8,74.65,14.57,0,0,48886
175,23.67,42.75,30.83,2.76,0,31792
176,13.77,51.91,28.39,5.95,0,46828
177,37.79,56.25,5.98,0,0,10184
178,NA,NA,NA,NA,NA,0
179,NA,NA,NA,NA,NA,0
180,14.18,56.77,26.41,2.5,0.17,71109
181,23.2,43.54,19.66,11.85,1.78,46600
182,9.64,39.91,37.6,7.64,5.22,46946
183,12.52,57.85,27.45,2.19,0,43659
184,24.47,50.26,21.26,4.03,0,24724
185,48.88,45.43,5.7,0,0,29129
186,14.49,57.94,22.17,1.76,3.67,11747
187,33.01,54.59,12.41,0,0,48263
188,41.88,34.02,16.86,3.44,3.82,31082
189,17.84,68.68,8.78,1.05,3.68,48725
190,12.13,51.63,29.61,3.05,3.6,33748
191,NA,NA,NA,NA,NA,0
192,7.27,54.69,34.83,1.93,1.31,38953
193,33.91,30.81,27.35,7.95,0,25665
194,35.09,50.03,14.89,0,0,25845
195,40.28,40.89,9.17,6.54,3.14,37047
196,16.23,66.29,15.75,0,1.75,35990
197,21.59,48.75,21.58,6.8,1.31,24124
198,16.17,59.33,20.79,1.48,2.26,29485
199,29.41,43.38,22.08,1.8,3.36,101750
200,25.46,48.3,22.83,3.42,0,33296
201,26.4,48.9,21.05,3.67,0,74667
202,15.99,68.34,11.27,4.43,0,77630
203,19.59,61.38,18.33,0.72,0,57057
204,44.42,49.05,6.54,0,0,115079
205,28.09,62.53,8.77,0.64,0,107393
206,30.26,54.56,15.2,0,0,45915
207,28.09,53.2,18.72,0,0,79026
208,23.11,38.7,31.29,6.92,0,42519
209,16.74,49.68,18.48,14.4,0.73,42192
210,2.35,32.93,33.18,22.09,9.47,32170
211,17.98,41.12,35.92,2.49,2.51,62162
212,28.63,46.44,20.04,4.9,0,42022
213,13.73,41.62,39.97,4.7,0,44558
214,33.44,34.88,29.33,2.37,0,26032
215,18.89,49.13,24.83,7.17,0,39195
216,11.03,54.01,26.79,2.89,5.31,40288
217,17.98,35.22,43.95,1.6,1.29,33081
218,8.93,66.32,24.77,0,0,68334
219,34.14,34.45,31.42,0,0,54475
220,27.94,35.41,29.72,2.79,4.17,34510
221,15.31,41.87,27.62,11.85,3.37,44416
222,15.37,43.81,25.89,11.65,3.3,44512
223,22.74,58.27,19,0,0,26492
224,NA,NA,NA,NA,NA,0
225,25.93,63.71,7.4,2.98,0,31818
226,13.32,65.48,21.21,0,0,102278
227,15.96,54.85,29.21,0,0,63969
228,34.2,42.17,23.64,0,0,44320
229,33.63,48.52,17.87,0,0,152866
230,19.88,56.72,22.7,0.72,0,77122
231,17.79,59.58,20.69,1.96,0,35298
232,11.23,60.19,28.42,0.17,0,42214
233,29.32,42.26,19.13,9.31,0,67261
234,31.13,65.19,0.66,3.04,0,70826
235,35.8,44.37,16.97,2.87,0,85409
236,6.22,10.75,43.63,26.5,12.93,12057
237,2.86,31.66,53.25,9.09,3.16,8175
238,16.13,32.71,33.01,13.68,4.51,19260
239,1.26,45.25,44.49,6.33,2.7,15480
240,5.29,38.74,43,6.84,6.15,19389
241,18.25,45.45,31.64,0,4.68,9672
242,29.27,38.08,24.94,7.74,0,27112
243,15.68,39.75,41.9,2.69,0,44779
244,27.4,53.19,14.73,2.94,1.76,62304
245,21.34,37.14,29.88,10.43,1.23,24591
246,11.42,56.2,30.99,1.42,0,29973
247,12.56,35.88,44.73,2.23,4.62,98763
248,NA,NA,NA,NA,NA,0
249,22.23,44.31,19.63,13.23,0.64,46815
250,4.33,32.08,51.08,12.03,0.5,19179
251,7.34,38.71,39.58,13.47,0.93,24384
252,25.11,49.22,17.97,1.66,6.06,22489
253,43.89,43.65,8.77,3.71,0,5068
254,10.37,21.88,49.84,8.45,9.48,34074
255,21.24,52.25,23.05,3.48,0,65501
256,27.86,50.72,19.81,1.36,0.28,29469
257,20.36,44.97,32.42,2.27,0,44120
258,29.44,53.09,17.48,0,0,69365
259,14.54,72.04,13.43,0,0,37944
260,31.25,45.1,23.67,0,0,46025
261,25.61,31.16,43.24,0,0,56316
262,17.36,67.23,14.4,0,1.03,85182
263,22.74,63.42,13.85,0,0,63212
264,16.89,45.09,38.03,0,0,66948
265,27.97,28.12,32.27,11.67,0,44247
266,23.42,60.21,16.39,0,0,18759
267,13.37,52.91,30.24,0.54,2.97,25209
268,4.73,11.27,32.71,19.08,32.23,13975
269,5.21,12.14,40.04,23.17,19.47,21459
270,0,17.33,56.84,13.3,12.55,9294
271,NA,NA,NA,NA,NA,0
272,6.86,31.96,48.08,11.56,1.56,19506
273,7.89,49.69,31.71,6.99,3.74,61476
274,3.04,37.94,35.79,19.27,3.99,35826
275,4.73,16.97,53.07,12.48,12.78,38239
276,14.18,43.19,37.32,2.97,2.37,92605
277,19.17,36.58,31.93,11.75,0.6,59452
278,25.77,53.94,19.36,0.96,0,138839
279,28.95,64.19,6.87,0,0,83502
280,2.34,26.86,47.53,15.59,7.7,20114
281,3.88,13.47,46.43,16.67,19.58,41022
282,20.04,32.32,42.84,4.08,0.74,33790
283,17.06,25.57,47.94,7.25,2.21,10684
284,19.31,52.32,24.25,1.62,2.52,51001
285,19.79,56.29,21.55,2.39,0,106280
286,8.78,27.12,56.43,0,7.68,9119
287,10.34,39.88,35.87,2.46,11.48,27277
288,23.93,51.93,21.54,0.55,2.08,21830
289,22.71,28.86,36.28,12.18,0,47549
290,11.14,77.27,11.61,0,0,56065
291,15.47,45.85,30.14,5.44,3.12,75809
292,36.24,23.97,38.46,1.35,0,65633
293,31.97,49.97,11.29,2.23,4.56,86031
294,24.45,71.64,3.93,0,0,113477
295,26.61,49.31,22.47,1.63,0,114180
296,49.69,50.32,0,0,0,4148
297,16.48,34.51,33.44,3.44,12.15,2907
298,37.98,48.69,10.08,3.26,0,145648
299,36.59,42.82,13.55,7.05,0,8363
300,1.6,14.66,42.68,21.25,19.84,34905
301,2.71,5.26,40.98,22.72,28.36,12483
302,3.56,18.29,24.16,36.72,17.29,16387
303,3.46,40.61,44.05,8.68,3.21,10325
304,16.52,68.04,11.05,4.4,0,78638
305,14.97,64.87,19.92,0.26,0,127291
306,22.9,59.5,17.62,0,0,82209
307,21.43,53.66,22.94,1.99,0,104416
308,47.19,46.4,6.43,0,0,41879
309,33.92,41.66,22.03,2.41,0,65732
310,37.8,46.92,15.3,0,0,28295
311,32.78,58.78,8.22,0.25,0,88536
312,19.23,37.15,31.29,8.93,3.44,38307
313,23.48,54.8,13.38,5.66,2.71,24266
314,11.87,75.64,10.16,0,2.35,105255
315,27.74,52.41,17.68,2.19,0,122442
316,0,6.68,56.75,20.96,15.63,15560
317,0.17,3.28,20.56,18.49,57.53,4306
318,0.4,40.58,45.75,6.28,7,22908
319,6.94,22.19,26.53,6.93,37.44,9015
320,42.78,43.18,7.38,1.66,5.02,73861
321,5.76,6.96,18.18,18.54,50.59,42795
322,4.31,24.34,38.59,23.88,8.91,39440
